2020 Tournament Place,Country,2021 Tournament Place,Country
1,Dosqaly,1,Sobianitedrucy
2,Nganion,2,People's Land of Maneau
3,Sobianitedrucy,3,Nganion
4,Southern Ristan,4,Mico
5,Greri Landmoslands,5,Quewenia
6,Byasier Pujan,6,Southern Ristan
7,Mico,7,Galamily
8,People's Land of Maneau,8,Bernepamar
9,Esia,9,Dosqaly
10,Nkasland Cronestan,10,Giumle Lizeibon
11,Quewenia,11,Greri Landmoslands
12,Manlisgamncent,12,Xikong
13,Xikong,13,Manlisgamncent
14,Bernepamar,14,Esia
15,Unicorporated Tiagascar,15,Byasier Pujan
16,Cuandbo,16,Djipines
,,17,Leoneku Guidisia
,,18,Ledian
,,19,Eastern Sleboube
,,20,New Uwi
,,21,Ngoque Blicri
,,22,Nkasland Cronestan
,,23,Eastern Niasland
,,24,Varijitri Isles